,GameID,Team,TeamVegas,ClosingSpread,TeamFP,MIN,Pred
1928,21900965.0,Dallas,118.0,-4.0,233.5,239.98000000000002,252.58029484446595
1929,21900965.0,San Antonio,114.0,4.0,272.0,239.98999999999998,244.01321502388916
1930,21900966.0,Phoenix,114.25,6.5,226.25,240.0,243.696978752108
1931,21900966.0,Portland,120.75,-6.5,258.5,240.0,257.61848346054524
1932,21900967.0,Golden State,104.75,12.5,204.25,240.01,227.04077214069605
1933,21900967.0,LA Clippers,117.25,-12.5,260.75,239.98000000000002,253.8128965799985
1934,21900968.0,Brooklyn,107.0,12.5,230.25,240.01999999999998,230.5822363989197
1935,21900968.0,LA Lakers,119.5,-12.5,232.0,239.99,257.3543608382221
1938,21900970.0,Charlotte,98.0,10.5,239.0,239.99,216.9841652064033
1939,21900970.0,Miami,108.5,-10.5,231.5,239.98999999999998,239.47274973541732
1940,21900971.0,Detroit,98.75,12.0,219.0,240.00000000000003,217.73881391219425
1941,21900971.0,Philadelphia,110.75,-12.0,264.0,240.01000000000002,243.44005337392457
1942,21900973.0,Dallas,109.25,2.0,245.5,239.98999999999998,237.1045763191285
1943,21900973.0,Denver,111.25,-2.0,216.0,239.99999999999994,241.38811622941694
1944,21901231.0,New Orleans,115.5,-2.0,236.75,239.99000000000004,248.07754871717268
1945,21901231.0,Utah,113.5,2.0,233.25,240.00000000000003,243.79400880688425
1946,21901232.0,LA Clippers,108.0,4.0,211.5,240.01000000000002,234.5693103352928
1947,21901232.0,LA Lakers,112.0,-4.0,222.25,240.00000000000003,243.1363901558696
1948,21901233.0,Brooklyn,101.0,8.0,237.25,240.01,222.41584985117416
1949,21901233.0,Orlando,109.0,-8.0,260.5,240.00000000000003,239.5500094923277
1952,21901235.0,Phoenix,115.75,-7.0,254.75,240.0,249.89050934680952
1953,21901235.0,Washington,108.75,7.0,215.0,240.0,234.89811966080015
1954,21901236.0,Boston,109.0,3.0,238.0,240.01,236.42718737024794
1955,21901236.0,Milwaukee,112.0,-3.0,261.25,240.01000000000002,242.85249723568054
1956,21901237.0,Sacramento,113.75,-3.5,245.0,240.01000000000005,245.74891589661564
1957,21901237.0,San Antonio,110.25,3.5,262.5,240.01,238.252721053611
1960,21901239.0,Denver,106.0,4.0,226.0,240.00000000000003,231.42134210576071
1961,21901239.0,Miami,110.0,-4.0,248.0,240.02000000000004,239.98842192633748
1962,21901240.0,Oklahoma City,108.75,1.0,246.75,239.99999999999997,236.60147718193457
1963,21901240.0,Utah,109.75,-1.0,204.25,239.99999999999997,238.74324713707875
1964,21901241.0,LA Clippers,119.0,-5.0,262.0,240.01999999999998,254.43817187942108
1965,21901241.0,New Orleans,114.0,5.0,222.5,239.99000000000004,243.7293221037001
1966,21901242.0,Indiana,107.0,5.5,254.0,239.99,232.56948684024317
1967,21901242.0,Philadelphia,112.5,-5.5,256.75,240.0,244.34922159353624
